steps,downsample,origin,rectangle,pixel
0,-2855.88952,-2088.770844,-3299.801421,-3529.250583
204.0816327,-1593.827046,-2277.65296,-3102,-3003.945948
408.1632653,-1333.473513,-2940.554593,-2831,-2769.966328
612.244898,-939.69636,-1609.241571,-2599.823485,-1642.77372
816.3265306,252.5663921,-1203.652919,-2212,-1443.780697
1020.408163,939.69636,-1255.421386,-1899.84555,-1106.891202
1224.489796,1652.566392,-870.6586063,-1526,-1106.651784
1428.571429,2000.382551,190.2995654,-1199.867614,-972.6346873
1632.653061,2118.47054,325.3832363,-342,124.5750071
1836.734694,2455.013785,287.687728,-4.889678333,172.623496
2040.816327,2518.423945,-150.2328281,379,822.1848376
2244.897959,2668.460291,-16.22178946,920.0882573,1580.558034
2448.979592,2770.755591,1200,1331,1460.486013
2653.061224,2800,1938.38067,1900.066193,1875.694182
2857.142857,2876,2374.499483,2295,2023.937697
3061.22449,2920,2471.433166,2707,2252.525699
3265.306122,2966,1979.711452,3000,2165.702573
3469.387755,3000,1865.113943,2700.022064,2267.862908
3673.469388,2876.470855,1763.139337,2279.711452,2352.451488
3877.55102,2800,1867.512536,1700,2366.69455
4081.632653,2984.587371,1986.070113,1997.010957,2500
4285.714286,2999.730712,2100,2101.710092,2680.754207
4489.795918,2990.515084,2278.170766,2219.18605,2746.04821
4693.877551,2990.405475,2209.338217,2498.36223,2702.098294
4897.959184,2979.49114,2277.742925,2912.638111,2762.62083
5102.040816,2880.111282,2390.487722,2880.030485,2814.802423
5306.122449,2874.28222,2389.451691,3000.264023,2824.974645
5510.204082,2827.993174,2450.590944,2918.792855,2858.91594
5714.285714,3000,2500,2940.186575,2904.283273
5918.367347,3000,2544.082777,2944.293678,3000
6122.44898,2970.342738,2444.223083,2929.873917,3000
6326.530612,2909.13424,2308.919956,3000,3000
6530.612245,2789.817064,2317.447328,3000,2876.821016
6734.693878,2673.062244,2378.88473,3000,2711.903536
6938.77551,2770.962765,2435.989039,2316.594836,2662.981049
7142.857143,2984.158033,2535.493225,2217.176738,2647.185414
7346.938776,2989.000867,2668.310776,2529.054087,2660.259559
7551.020408,2984.910405,2512.337724,2518.647583,2783.883553
7755.102041,2990.243098,2401.427047,2588.775897,2798.780997
7959.183673,2991.49298,2648.782904,2664.619177,2763.46549
8163.265306,2988.068941,2700,2747.813551,2637.047648
8367.346939,2988.587673,2791.865941,2735.546353,2529.656073
8571.428571,3000,2838.798815,2790.053255,2871.489599
8775.510204,3000,2990.604704,2834.288367,2687.837337
8979.591837,2988.653315,2971.110564,2881.969018,2922.967947
9183.673469,2972.95295,3000,2676.108782,3000
9387.755102,3000,2990,2921.303262,3000
9591.836735,2988.879802,2966.492343,3000,2981.54681
9795.918367,2990.086531,2673.075592,2817.536706,2833.983621
10000,3000,2832.503254,2965.136401,3000
